id,private,full_name,stars,ssh_url,clone_url,size,watchers,has_issues,forks,open_issues,license,run_item_id,cloned,chosen,commits,contributors,created_at,updated_at,pushed_at,analyzed,coverage,failed,comments,repo_id,commit_id,commite_id,complexity
4711,false,thrsky/ThrskyShop,287,git@github.com:thrsky/ThrskyShop.git,https://github.com/thrsky/ThrskyShop.git,982,287,true,133,7,,91,false,false,NULL,NULL,2017-04-25 14:25:02+03,2024-12-22 14:11:05+02,2020-04-02 06:03:59+03,false,NULL,false,NULL,89352584,NULL,NULL,NULL
4712,false,jhg023/SimpleNet,179,git@github.com:jhg023/SimpleNet.git,https://github.com/jhg023/SimpleNet.git,348,179,true,19,4,mit,91,true,true,159,7,2017-10-23 00:40:06+03,2024-11-06 22:06:35+02,2020-12-30 11:50:20+02,true,NULL,true,Failed due to external dependencies,107904999,NULL,08b1b52,359
4713,false,mraible/jhipster4-demo,179,git@github.com:mraible/jhipster4-demo.git,https://github.com/mraible/jhipster4-demo.git,18045,179,true,92,0,,91,false,false,NULL,NULL,2017-01-10 06:22:14+02,2025-01-16 20:09:42+02,2020-10-01 15:11:09+03,false,NULL,false,NULL,78497198,NULL,NULL,NULL
4714,false,vert-x3/vertx-maven-starter,137,git@github.com:vert-x3/vertx-maven-starter.git,https://github.com/vert-x3/vertx-maven-starter.git,65,137,true,54,2,,91,false,false,NULL,NULL,2016-10-11 11:55:26+03,2024-04-14 03:38:43+03,2020-12-15 15:50:49+02,false,NULL,false,NULL,70574863,NULL,NULL,NULL
4715,false,Systemmanic/docker-compose-maven-plugin,74,git@github.com:Systemmanic/docker-compose-maven-plugin.git,https://github.com/Systemmanic/docker-compose-maven-plugin.git,132,74,false,46,9,mit,91,false,false,NULL,NULL,2017-07-23 15:59:36+03,2024-11-03 16:18:17+02,2020-09-22 17:49:41+03,false,NULL,false,NULL,98098109,NULL,NULL,NULL
4716,false,robmelfi/21-points-react,41,git@github.com:robmelfi/21-points-react.git,https://github.com/robmelfi/21-points-react.git,943,41,true,13,6,,91,false,false,NULL,NULL,2018-10-14 09:46:12+03,2024-11-30 07:17:20+02,2020-09-18 19:27:30+03,false,NULL,false,NULL,152947113,NULL,NULL,NULL
4717,false,paul-hammant/googles-monorepo-demo,41,git@github.com:paul-hammant/googles-monorepo-demo.git,https://github.com/paul-hammant/googles-monorepo-demo.git,3257,41,true,7,0,apache-2.0,91,true,true,13,3,2017-01-27 13:30:52+02,2024-11-13 16:25:05+02,2020-03-24 19:40:15+02,true,NULL,true,It is a guava project,80202345,NULL,NULL,NULL
4718,false,rieckpil/getting-started-with-microprofile,36,git@github.com:rieckpil/getting-started-with-microprofile.git,https://github.com/rieckpil/getting-started-with-microprofile.git,10491,36,true,10,0,mit,91,true,true,117,2,2019-07-09 17:56:54+03,2024-04-02 20:19:05+03,2020-12-27 20:54:19+02,true,0.00,false,No actual tests,196030375,NULL,f87f53e,168
4719,false,tablu666/springboot-vue-online-mall,33,git@github.com:tablu666/springboot-vue-online-mall.git,https://github.com/tablu666/springboot-vue-online-mall.git,33435,33,true,8,1,,91,false,false,NULL,NULL,2020-09-09 17:37:56+03,2025-01-18 06:23:14+02,2020-11-16 11:30:03+02,false,NULL,false,NULL,294139947,NULL,NULL,NULL
4720,false,rladstaetter/javacv-webcam,28,git@github.com:rladstaetter/javacv-webcam.git,https://github.com/rladstaetter/javacv-webcam.git,39,28,true,7,0,apache-2.0,91,false,false,NULL,NULL,2020-04-29 22:53:10+03,2024-09-28 06:35:46+03,2020-10-17 23:14:52+03,false,NULL,false,NULL,260028034,NULL,NULL,NULL
